1,Malang,Jawa Timur
2,Blitar,Jawa Timur
3,Tulungagung,Jawa Timur
4,Jakarta,Dki Jakarta
5,Surabaya,Jawa Timur
6,Bandung,Jawa Barat
7,Padang,Sumatera Barat
